home,score,away,year
Qatar,0_2,Ecuador,2022
Senegal,0_2,Netherlands,2022
Qatar,1_3,Senegal,2022
Netherlands,1_1,Ecuador,2022
Ecuador,1_2,Senegal,2022
Netherlands,2_0,Qatar,2022
England,6_2,Iran,2022
United States,1_1,Wales,2022
Wales,0_2,Iran,2022
England,0_0,United States,2022
Wales,0_3,England,2022
Iran,0_1,United States,2022
Argentina,1_2,Saudi Arabia,2022
Mexico,0_0,Poland,2022
Poland,2_0,Saudi Arabia,2022
Argentina,2_0,Mexico,2022
Poland,0_2,Argentina,2022
Saudi Arabia,1_2,Mexico,2022
Denmark,0_0,Tunisia,2022
France,4_1,Australia,2022
Tunisia,0_1,Australia,2022
France,2_1,Denmark,2022
Australia,1_0,Denmark,2022
Tunisia,1_0,France,2022
Germany,1_2,Japan,2022
Spain,7_0,Costa Rica,2022
Japan,0_1,Costa Rica,2022
Spain,1_1,Germany,2022
Japan,2_1,Spain,2022
Costa Rica,2_4,Germany,2022
Morocco,0_0,Croatia,2022
Belgium,1_0,Canada,2022
Belgium,0_2,Morocco,2022
Croatia,4_1,Canada,2022
Croatia,0_0,Belgium,2022
Canada,1_2,Morocco,2022
Switzerland,1_0,Cameroon,2022
Brazil,2_0,Serbia,2022
Cameroon,3_3,Serbia,2022
Brazil,1_0,Switzerland,2022
Serbia,2_3,Switzerland,2022
Cameroon,1_0,Brazil,2022
Uruguay,0_0,South Korea,2022
Portugal,3_2,Ghana,2022
South Korea,2_3,Ghana,2022
Portugal,2_0,Uruguay,2022
Ghana,0_2,Uruguay,2022
South Korea,2_1,Portugal,2022
Netherlands,3_1,United States,2022
Argentina,2_1,Australia,2022
France,3_1,Poland,2022
England,3_0,Senegal,2022
Japan,1_1 (a.e.t.),Croatia,2022
Brazil,4_1,South Korea,2022
Morocco,0_0 (a.e.t.),Spain,2022
Portugal,6_1,Switzerland,2022
Croatia,1_1 (a.e.t.),Brazil,2022
Netherlands,2_2 (a.e.t.),Argentina,2022
Morocco,1_0,Portugal,2022
England,1_2,France,2022
Argentina,3_0,Croatia,2022
France,2_0,Morocco,2022
Croatia,2_1,Morocco,2022
Argentina,3_3 (a.e.t.),France,2022
