home,score,away,year
France,4_1,Mexico,1930
Argentina,1_0,France,1930
Chile,3_0,Mexico,1930
Chile,1_0,France,1930
Argentina,6_3,Mexico,1930
Argentina,3_1,Chile,1930
Yugoslavia,2_1,Brazil,1930
Yugoslavia,4_0,Bolivia,1930
Brazil,4_0,Bolivia,1930
Romania,3_1,Peru,1930
Uruguay,1_0,Peru,1930
Uruguay,4_0,Romania,1930
United States,3_0,Belgium,1930
United States,3_0,Paraguay,1930
Paraguay,1_0,Belgium,1930
Argentina,6_1,United States,1930
Uruguay,6_1,Yugoslavia,1930
Uruguay,4_2,Argentina,1930
Spain,3_1,Brazil,1934
Hungary,4_2,Egypt,1934
Switzerland,3_2,Netherlands,1934
Italy,7_1,United States,1934
Czechoslovakia,2_1,Romania,1934
Sweden,3_2,Argentina,1934
Austria,3_2 (a.e.t.),France,1934
Germany,5_2,Belgium,1934
Austria,2_1,Hungary,1934
Italy,1_1 (a.e.t.),Spain,1934
Germany,2_1,Sweden,1934
Czechoslovakia,3_2,Switzerland,1934
Italy,1_0,Spain,1934
Italy,1_0,Austria,1934
Czechoslovakia,3_1,Germany,1934
Germany,3_2,Austria,1934
Italy,2_1 (a.e.t.),Czechoslovakia,1934
Switzerland,1_1 (a.e.t.),Germany,1938
Hungary,6_0,Dutch East Indies,1938
Sweden,w/o[a],Austria,1938
Cuba,3_3 (a.e.t.),Romania,1938
France,3_1,Belgium,1938
Italy,2_1 (a.e.t.),Norway,1938
Brazil,6_5 (a.e.t.),Poland,1938
Czechoslovakia,3_0 (a.e.t.),Netherlands,1938
Switzerland,4_2,Germany,1938
Cuba,2_1,Romania,1938
Hungary,2_0,Switzerland,1938
Sweden,8_0,Cuba,1938
Italy,3_1,France,1938
Brazil,1_1 (a.e.t.),Czechoslovakia,1938
Brazil,2_1,Czechoslovakia,1938
Hungary,5_1,Sweden,1938
Italy,2_1,Brazil,1938
Brazil,4_2,Sweden,1938
Italy,4_2,Hungary,1938
Brazil,4_0,Mexico,1950
Yugoslavia,3_0,Switzerland,1950
Brazil,2_2,Switzerland,1950
Yugoslavia,4_1,Mexico,1950
Brazil,2_0,Yugoslavia,1950
Switzerland,2_1,Mexico,1950
England,2_0,Chile,1950
Spain,3_1,United States,1950
Spain,2_0,Chile,1950
United States,1_0,England,1950
Spain,1_0,England,1950
Chile,5_2,United States,1950
Sweden,3_2,Italy,1950
Sweden,2_2,Paraguay,1950
Italy,2_0,Paraguay,1950
Uruguay,8_0,Bolivia,1950
Uruguay,2_2,Spain,1950
Brazil,7_1,Sweden,1950
Brazil,6_1,Spain,1950
Uruguay,3_2,Sweden,1950
Sweden,3_1,Spain,1950
Uruguay,2_1,Brazil,1950
Brazil,5_0,Mexico,1954
Yugoslavia,1_0,France,1954
Brazil,1_1 (a.e.t.),Yugoslavia,1954
France,3_2,Mexico,1954
West Germany,4_1,Turkey,1954
Hungary,9_0,South Korea,1954
Hungary,8_3,West Germany,1954
Turkey,7_0,South Korea,1954
West Germany,7_2,Turkey,1954
Uruguay,2_0,Czechoslovakia,1954
Austria,1_0,Scotland,1954
Uruguay,7_0,Scotland,1954
Austria,5_0,Czechoslovakia,1954
Switzerland,2_1,Italy,1954
England,4_4 (a.e.t.),Belgium,1954
Italy,4_1,Belgium,1954
England,2_0,Switzerland,1954
Switzerland,4_1,Italy,1954
Austria,7_5,Switzerland,1954
Uruguay,4_2,England,1954
West Germany,2_0,Yugoslavia,1954
Hungary,4_2,Brazil,1954
West Germany,6_1,Austria,1954
Hungary,4_2 (a.e.t.),Uruguay,1954
Austria,3_1,Uruguay,1954
West Germany,3_2,Hungary,1954
Argentina,1_3,West Germany,1958
Northern Ireland,1_0,Czechoslovakia,1958
West Germany,2_2,Czechoslovakia,1958
Argentina,3_1,Northern Ireland,1958
West Germany,2_2,Northern Ireland,1958
Czechoslovakia,6_1,Argentina,1958
Northern Ireland,2_1 (a.e.t.),Czechoslovakia,1958
France,7_3,Paraguay,1958
Yugoslavia,1_1,Scotland,1958
Yugoslavia,3_2,France,1958
Paraguay,3_2,Scotland,1958
France,2_1,Scotland,1958
Paraguay,3_3,Yugoslavia,1958
Sweden,3_0,Mexico,1958
Hungary,1_1,Wales,1958
Mexico,1_1,Wales,1958
Sweden,2_1,Hungary,1958
Sweden,0_0,Wales,1958
Hungary,4_0,Mexico,1958
Wales,2_1,Hungary,1958
Brazil,3_0,Austria,1958
Soviet Union,2_2,England,1958
Brazil,0_0,England,1958
Soviet Union,2_0,Austria,1958
England,2_2,Austria,1958
Brazil,2_0,Soviet Union,1958
Soviet Union,1_0,England,1958
Brazil,1_0,Wales,1958
France,4_0,Northern Ireland,1958
Sweden,2_0,Soviet Union,1958
West Germany,1_0,Yugoslavia,1958
Brazil,5_2,France,1958
Sweden,3_1,West Germany,1958
France,6_3,West Germany,1958
Brazil,5_2,Sweden,1958
Uruguay,2_1,Colombia,1962
Soviet Union,2_0,Yugoslavia,1962
Yugoslavia,3_1,Uruguay,1962
Soviet Union,4_4,Colombia,1962
Soviet Union,2_1,Uruguay,1962
Yugoslavia,5_0,Colombia,1962
Chile,3_1,Switzerland,1962
West Germany,0_0,Italy,1962
Chile,2_0,Italy,1962
West Germany,2_1,Switzerland,1962
West Germany,2_0,Chile,1962
Italy,3_0,Switzerland,1962
Brazil,2_0,Mexico,1962
Czechoslovakia,1_0,Spain,1962
Brazil,0_0,Czechoslovakia,1962
Spain,1_0,Mexico,1962
Brazil,2_1,Spain,1962
Mexico,3_1,Czechoslovakia,1962
Argentina,1_0,Bulgaria,1962
Hungary,2_1,England,1962
England,3_1,Argentina,1962
Hungary,6_1,Bulgaria,1962
Hungary,0_0,Argentina,1962
England,0_0,Bulgaria,1962
Chile,2_1,Soviet Union,1962
Czechoslovakia,1_0,Hungary,1962
Brazil,3_1,England,1962
Yugoslavia,1_0,West Germany,1962
Czechoslovakia,3_1,Yugoslavia,1962
Brazil,4_2,Chile,1962
Chile,1_0,Yugoslavia,1962
Brazil,3_1,Czechoslovakia,1962
England,0_0,Uruguay,1966
France,1_1,Mexico,1966
Uruguay,2_1,France,1966
England,2_0,Mexico,1966
Mexico,0_0,Uruguay,1966
England,2_0,France,1966
West Germany,5_0,Switzerland,1966
Argentina,2_1,Spain,1966
Spain,2_1,Switzerland,1966
Argentina,0_0,West Germany,1966
Argentina,2_0,Switzerland,1966
West Germany,2_1,Spain,1966
Brazil,2_0,Bulgaria,1966
Portugal,3_1,Hungary,1966
Hungary,3_1,Brazil,1966
Portugal,3_0,Bulgaria,1966
Portugal,3_1,Brazil,1966
Hungary,3_1,Bulgaria,1966
Soviet Union,3_0,North Korea,1966
Italy,2_0,Chile,1966
Chile,1_1,North Korea,1966
Soviet Union,1_0,Italy,1966
North Korea,1_0,Italy,1966
Soviet Union,2_1,Chile,1966
England,1_0,Argentina,1966
West Germany,4_0,Uruguay,1966
Soviet Union,2_1,Hungary,1966
Portugal,5_3,North Korea,1966
West Germany,2_1,Soviet Union,1966
England,2_1,Portugal,1966
Portugal,2_1,Soviet Union,1966
England,4_2 (a.e.t.),West Germany,1966
Mexico,0_0,Soviet Union,1970
Belgium,3_0,El Salvador,1970
Soviet Union,4_1,Belgium,1970
Mexico,4_0,El Salvador,1970
Soviet Union,2_0,El Salvador,1970
Mexico,1_0,Belgium,1970
Uruguay,2_0,Israel,1970
Italy,1_0,Sweden,1970
Uruguay,0_0,Italy,1970
Sweden,1_1,Israel,1970
Sweden,1_0,Uruguay,1970
Italy,0_0,Israel,1970
England,1_0,Romania,1970
Brazil,4_1,Czechoslovakia,1970
Romania,2_1,Czechoslovakia,1970
Brazil,1_0,England,1970
Brazil,3_2,Romania,1970
England,1_0,Czechoslovakia,1970
Peru,3_2,Bulgaria,1970
West Germany,2_1,Morocco,1970
Peru,3_0,Morocco,1970
West Germany,5_2,Bulgaria,1970
West Germany,3_1,Peru,1970
Bulgaria,1_1,Morocco,1970
Soviet Union,0_1 (a.e.t.),Uruguay,1970
Italy,4_1,Mexico,1970
Brazil,4_2,Peru,1970
West Germany,3_2 (a.e.t.),England,1970
Uruguay,1_3,Brazil,1970
Italy,4_3 (a.e.t.),West Germany,1970
Uruguay,0_1,West Germany,1970
Brazil,4_1,Italy,1970
West Germany,1_0,Chile,1974
East Germany,2_0,Australia,1974
Australia,0_3,West Germany,1974
Chile,1_1,East Germany,1974
Australia,0_0,Chile,1974
East Germany,1_0,West Germany,1974
Brazil,0_0,Yugoslavia,1974
Zaire,0_2,Scotland,1974
Yugoslavia,9_0,Zaire,1974
Scotland,0_0,Brazil,1974
Scotland,1_1,Yugoslavia,1974
Zaire,0_3,Brazil,1974
Uruguay,0_2,Netherlands,1974
Sweden,0_0,Bulgaria,1974
Bulgaria,1_1,Uruguay,1974
Netherlands,0_0,Sweden,1974
Bulgaria,1_4,Netherlands,1974
Sweden,3_0,Uruguay,1974
Italy,3_1,Haiti,1974
Poland,3_2,Argentina,1974
Argentina,1_1,Italy,1974
Haiti,0_7,Poland,1974
Argentina,4_1,Haiti,1974
Poland,2_1,Italy,1974
Netherlands,4_0,Argentina,1974
Brazil,1_0,East Germany,1974
Argentina,1_2,Brazil,1974
East Germany,0_2,Netherlands,1974
Argentina,1_1,East Germany,1974
Netherlands,2_0,Brazil,1974
Yugoslavia,0_2,West Germany,1974
Sweden,0_1,Poland,1974
Poland,2_1,Yugoslavia,1974
West Germany,4_2,Sweden,1974
Poland,0_1,West Germany,1974
Sweden,2_1,Yugoslavia,1974
Brazil,0_1,Poland,1974
Netherlands,1_2,West Germany,1974
Italy,2_1,France,1978
Argentina,2_1,Hungary,1978
Italy,3_1,Hungary,1978
Argentina,2_1,France,1978
France,3_1,Hungary,1978
Argentina,0_1,Italy,1978
West Germany,0_0,Poland,1978
Tunisia,3_1,Mexico,1978
West Germany,6_0,Mexico,1978
Poland,1_0,Tunisia,1978
West Germany,0_0,Tunisia,1978
Poland,3_1,Mexico,1978
Austria,2_1,Spain,1978
Brazil,1_1,Sweden,1978
Austria,1_0,Sweden,1978
Brazil,0_0,Spain,1978
Spain,1_0,Sweden,1978
Brazil,1_0,Austria,1978
Peru,3_1,Scotland,1978
Netherlands,3_0,Iran,1978
