home,score,away,year
Italy ,2–1 (a.e.t.), Czechoslovakia,1934
Italy ,1–1 (a.e.t.), Spain,1934
Austria ,3–2 (a.e.t.), France,1934
Brazil ,1–1 (a.e.t.), Czechoslovakia,1938
Czechoslovakia ,3–0 (a.e.t.), Netherlands,1938
Brazil ,6–5 (a.e.t.), Poland,1938
Italy ,2–1 (a.e.t.), Norway,1938
Cuba ,3–3 (a.e.t.), Romania,1938
Sweden ,w/o[a], Austria,1938
Switzerland ,1–1 (a.e.t.), Germany,1938
England ,4–4 (a.e.t.), Belgium,1954
Hungary ,4–2 (a.e.t.), Uruguay,1954
Brazil ,1–1 (a.e.t.), Yugoslavia,1954
Northern Ireland ,2–1 (a.e.t.), Czechoslovakia,1958
England ,4–2 (a.e.t.), West Germany,1966
Soviet Union ,0–1 (a.e.t.), Uruguay,1970
West Germany ,3–2 (a.e.t.), England,1970
Italy ,4–3 (a.e.t.), West Germany,1970
Argentina ,3–1 (a.e.t.), Netherlands,1978
West Germany ,3–3 (a.e.t.), France,1982
Brazil ,1–1 (a.e.t.), France,1986
Soviet Union ,3–4 (a.e.t.), Belgium,1986
Belgium ,2–4 (a.e.t.), France,1986
Spain ,1–1 (a.e.t.), Belgium,1986
West Germany ,0–0 (a.e.t.), Mexico,1986
Argentina ,0–0 (a.e.t.), Yugoslavia,1990
England ,1–0 (a.e.t.), Belgium,1990
West Germany ,1–1 (a.e.t.), England,1990
Republic of Ireland ,0–0 (a.e.t.), Romania,1990
Cameroon ,2–1 (a.e.t.), Colombia,1990
Argentina ,1–1 (a.e.t.), Italy,1990
Spain ,1–2 (a.e.t.), Yugoslavia,1990
Cameroon ,2–3 (a.e.t.), England,1990
Romania ,2–2 (a.e.t.), Sweden,1994
Nigeria ,1–2 (a.e.t.), Italy,1994
Brazil ,0–0 (a.e.t.), Italy,1994
Mexico ,1–1 (a.e.t.), Bulgaria,1994
Argentina ,2–2 (a.e.t.), England,1998
Italy ,0–0 (a.e.t.), France,1998
Brazil ,1–1 (a.e.t.), Netherlands,1998
France ,1–0 (a.e.t.), Paraguay,1998
Sweden ,1–2 (a.e.t.), Senegal,2002
Spain ,1–1 (a.e.t.), Republic of Ireland,2002
South Korea ,2–1 (a.e.t.), Italy,2002
Spain ,0–0 (a.e.t.), South Korea,2002
Senegal ,0–1 (a.e.t.), Turkey,2002
Germany ,0–2 (a.e.t.), Italy,2006
England ,0–0 (a.e.t.), Portugal,2006
Germany ,1–1 (a.e.t.), Argentina,2006
Argentina ,2–1 (a.e.t.), Mexico,2006
Switzerland ,0–0 (a.e.t.), Ukraine,2006
Italy ,1–1 (a.e.t.), France,2006
Netherlands ,0–1 (a.e.t.), Spain,2010
Uruguay ,1–1 (a.e.t.), Ghana,2010
United States ,1–2 (a.e.t.), Ghana,2010
Paraguay ,0–0 (a.e.t.), Japan,2010
Argentina ,1–0 (a.e.t.), Switzerland,2014
Germany ,1–0 (a.e.t.), Argentina,2014
Germany ,2–1 (a.e.t.), Algeria,2014
Netherlands ,0–0 (a.e.t.), Costa Rica,2014
Belgium ,2–1 (a.e.t.), United States,2014
Costa Rica ,1–1 (a.e.t.), Greece,2014
Brazil ,1–1 (a.e.t.), Chile,2014
Netherlands ,0–0 (a.e.t.), Argentina,2014
Spain ,1–1 (a.e.t.), Russia,2018
Croatia ,1–1 (a.e.t.), Denmark,2018
Colombia ,1–1 (a.e.t.), England,2018
Russia ,2–2 (a.e.t.), Croatia,2018
Croatia ,2–1 (a.e.t.), England,2018
